organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,6920907808612,2022-06-02,0.03571428571428571,21.22641509433962,2.9775
1016,6920907808612,2022-06-03,0.03571428571428571,23.580786026200872,3.18
1016,6920907809350,2022-04-16,0.0,22.003034901365705,2.55
1016,6920907809350,2022-04-17,0.0,21.772939346811818,3.295
1016,6920907809350,2022-04-18,0.0,21.479713603818617,3.215
1016,6920907809350,2022-04-19,0.0,21.121039805036553,3.1424999999999996
1016,6920907809350,2022-04-20,0.0,18.34862385321101,3.0775
1016,6920907809350,2022-04-21,0.0,20.390824129141887,3.27
1016,6920907809350,2022-04-22,0.0,17.47418586179508,2.9425
1016,6920907809350,2022-04-23,0.0,19.41747572815534,3.1475
1016,6920907809350,2022-04-24,0.0,21.56862745098039,2.8325
1016,6920907809350,2022-04-25,0.0,23.965141612200433,2.55
1016,6920907809350,2022-04-28,0.0,22.8789323164919,2.3575
1016,6920907809350,2022-04-29,0.0,19.230769230769234,2.6224999999999996
1016,6920907809350,2022-04-30,0.0,14.285714285714285,2.86
1016,6920907809350,2022-05-01,0.0,9.39261114589856,3.325
1016,6920907809350,2022-05-02,0.0,7.941356139279169,3.9924999999999997
1016,6920907809350,2022-05-03,0.0,11.44310235219326,4.0925
1016,6920907809350,2022-05-04,0.0,8.741258741258742,4.0925
1016,6920907809350,2022-05-05,0.0,13.785790031813363,4.29
1016,6920907809350,2022-05-06,0.0,15.312131919905772,4.36
1016,6920907809350,2022-05-07,0.0,17.015706806282722,2.1225
1016,6920907809350,2022-05-08,0.0,18.895348837209305,1.9100000000000001
1016,6920907809350,2022-05-20,0.0,12.369172216936253,2.0875
1016,6920907809350,2022-05-21,0.0,11.47227533460803,2.6275
1016,6920907809350,2022-05-22,0.0,8.76424189307625,2.615
1016,6920907809350,2022-05-23,0.0,7.985803016858918,2.8525
1016,6920907809350,2022-05-24,0.0,20.71005917159763,2.8175
1016,6920907809350,2022-05-25,0.0,23.001095290251914,2.535
1016,6920907809350,2022-05-26,0.0,21.691973969631235,2.2825
1016,6920907809350,2022-05-27,0.0,11.278195488721805,2.305
1016,6920907809350,2022-05-28,0.0,12.531328320802004,3.325
1016,6920907809350,2022-05-30,0.03571428571428571,15.503875968992247,3.9425
1016,6920907809350,2022-05-31,0.03571428571428571,15.250544662309368,3.5475000000000003
1016,6920907809350,2022-06-01,0.03571428571428571,14.936519790888724,3.4425
1016,6920907809350,2022-06-02,0.03571428571428571,12.811387900355871,3.3475
1016,6920907809350,2022-06-03,0.03571428571428571,10.92896174863388,3.5125
1016,6920907809350,2022-06-04,0.03571428571428571,8.03461063040791,3.66
1016,6920907809350,2022-06-05,0.03571428571428571,7.712082262210797,4.045
